team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90
Arsenal FC,Arsenal,2016/2017,England,38,19,19,0,23,14,9,6,3,3,9,2,7,1.97,2.37,1.58,5,3,6,5,77,44,33,121,55,66,39,38,16,28,23,10,44,44,45,78,107,61,13,9,4,23,10,13,4,1,3,25,14,11,227,132,95,74,41,33,55,56,54,400,230,170,192,108,84,208,122,86,192,108,84,27,15,12,17,9,8,10,6,4,14,6,8,18,11,7,6,2,4,1.58,1.53,1.63,3.18,2.89,3.47,2.03,2.05,2,1.16,0.84,1.47,1.16,1.26,1.05,0.71,0.79,0.63,0.45,0.47,0.42,36,33,25,16,7,3,18,16,11,6,2,1,18,17,14,10,5,2,2,5,13,22,31,35,1,3,8,13,17,18,1,2,5,9,14,17,95,87,66,42,18,8,95,84,58,32,11,5,95,89,74,53,26,11,5,13,34,58,82,92,5,16,42,68,89,95,5,11,26,47,74,89,26,14,4,12,9,3,14,5,1,68,37,11,63,47,16,74,26,5,61,74,47,15,34,47,21,61,53,68,11,5,16,66,74,58,25,12,13,66,63,68,17,8,9,45,42,47,8,6,2,21,32,11,37,32,42,47,58,37,16,11,21,5.97,6.95,5.00,1.95,2.16,1.74,84,82,76,63,55,37,32,21,100,3,8,4,7,6,14,4,13,18,3,7,2,2,6,9,7,3,5
Tottenham Hotspur FC,Tottenham Hotspur,2016/2017,England,38,19,19,0,26,17,9,8,2,6,4,0,4,2.26,2.79,1.74,2,1,5,2,86,26,60,112,56,56,47,39,9,17,38,22,40,36,44,132,191,101,17,12,5,18,7,11,5,0,5,24,16,8,274,149,125,62,27,35,59,58,60,445,248,197,216,121,95,229,127,102,216,121,95,36,23,13,11,3,8,25,20,5,17,12,5,14,5,9,7,2,5,1.71,2.16,1.26,2.95,2.95,2.95,2.26,2.47,2.05,0.68,0.47,0.89,1.24,1.37,1.11,0.95,1.21,0.68,0.29,0.16,0.42,36,30,20,14,7,2,19,16,11,7,3,0,17,14,9,7,4,2,2,8,18,24,31,36,0,3,8,12,16,19,2,5,10,12,15,17,95,79,53,37,18,5,100,84,58,37,16,0,89,74,47,37,21,11,5,21,47,63,82,95,0,16,42,63,84,100,11,26,53,63,79,89,27,15,4,15,8,2,12,7,2,71,39,11,79,42,11,63,37,11,68,89,47,20,45,63,26,47,37,58,13,0,26,63,84,42,28,16,12,74,84,63,18,6,12,47,32,63,3,1,2,8,5,11,45,63,26,37,26,47,18,11,26,7.21,7.84,6.58,1.63,1.42,1.84,89,84,79,66,55,42,32,16,95,3,11,5,9,12,14,6,9,17,2,3,3,0,5,4,4,1,4
Manchester City FC,Manchester City,2016/2017,England,38,19,19,0,23,11,12,9,7,2,6,1,5,2.05,2.11,2,3,6,2,3,80,39,41,119,54,65,37,43,17,22,20,21,43,46,40,87,101,78,12,5,7,23,14,9,5,2,3,25,13,12,281,152,129,79,40,39,62,63,60,465,258,207,203,104,99,262,154,108,203,104,99,36,15,21,17,3,14,19,12,7,20,11,9,10,6,4,8,2,6,1.84,2.05,1.63,3.13,2.84,3.42,2.11,1.95,2.26,1.03,0.89,1.16,1.39,0.95,1.84,0.95,0.79,1.11,0.45,0.16,0.74,36,35,27,16,4,1,17,17,12,7,1,0,19,18,15,9,3,1,2,3,11,22,34,37,2,2,7,12,18,19,0,1,4,10,16,18,95,92,71,42,11,3,89,89,63,37,5,0,100,95,79,47,16,5,5,8,29,58,89,97,11,11,37,63,95,100,0,5,21,53,84,95,30,15,7,13,4,1,17,11,6,79,39,18,68,21,5,89,58,32,61,58,63,3,32,26,37,61,74,47,13,11,16,66,68,63,25,16,9,66,84,47,15,8,7,39,42,37,6,1,5,16,5,26,53,58,47,26,32,21,21,11,32,7.39,8.00,6.79,2.08,2.11,2.05,97,92,84,63,47,34,26,18,87,6,6,10,9,10,9,8,8,14,6,3,1,5,4,5,4,5,6
Leicester City FC,Leicester City,2016/2017,England,38,19,19,0,12,10,2,8,4,4,18,5,13,1.16,1.79,0.53,12,8,17,12,48,63,-15,111,56,55,31,17,25,38,6,-21,71,55,101,54,68,45,9,7,2,20,9,11,12,5,7,12,9,3,197,110,87,74,31,43,43,45,41,343,185,158,164,81,83,179,104,75,164,81,83,23,13,10,33,8,25,-10,5,-15,11,8,3,11,7,4,16,4,12,1.16,1.63,0.68,2.92,2.95,2.89,1.26,1.63,0.89,1.66,1.32,2,1.47,1.11,1.84,0.61,0.68,0.53,0.87,0.42,1.32,35,30,24,12,6,3,17,16,12,6,2,2,18,14,12,6,4,1,3,8,14,26,32,35,2,3,7,13,17,17,1,5,7,13,15,18,92,79,63,32,16,8,89,84,63,32,11,11,95,74,63,32,21,5,8,21,37,68,84,92,11,16,37,68,89,89,5,26,37,68,79,95,29,16,7,14,6,1,15,10,6,76,42,18,74,32,5,79,53,32,32,53,11,25,24,37,11,53,47,58,32,26,37,32,47,16,19,13,6,50,68,32,21,9,12,55,47,63,7,2,5,18,11,26,29,42,16,29,37,21,42,21,63,5.18,5.79,4.58,1.95,1.63,2.26,95,89,76,66,53,39,34,24,79,7,3,3,6,8,9,2,6,4,5,5,5,10,9,7,5,7,10
Stoke City FC,Stoke City,2016/2017,England,38,19,19,0,11,7,4,11,6,5,16,6,10,1.16,1.42,0.89,13,14,11,13,41,56,-15,97,48,49,24,17,24,32,0,-15,83,71,101,61,71,54,11,7,4,19,10,9,11,4,7,19,12,7,188,103,85,74,39,35,46,48,45,298,136,162,165,82,83,133,54,79,165,82,83,23,15,8,23,8,15,0,7,-7,12,8,4,14,7,7,12,4,8,1.32,1.63,1,2.55,2.53,2.58,1.08,1.26,0.89,1.47,1.26,1.68,1.21,1.21,1.21,0.61,0.79,0.42,0.61,0.42,0.79,35,28,15,13,5,1,17,15,8,6,2,0,18,13,7,7,3,1,3,10,23,25,33,37,2,4,11,13,17,19,1,6,12,12,16,18,92,74,39,34,13,3,89,79,42,32,11,0,95,68,37,37,16,5,8,26,61,66,87,97,11,21,58,68,89,100,5,32,63,63,84,95,28,13,3,15,8,0,13,5,3,74,34,8,79,42,0,68,26,16,29,37,21,16,29,37,21,50,53,47,29,21,37,50,63,37,21,12,9,55,63,47,21,8,13,55,42,68,6,3,3,16,16,16,32,42,21,37,37,37,32,21,42,4.95,5.42,4.47,1.95,2.05,1.84,97,87,79,76,57,50,45,32,66,4,4,5,5,9,2,5,5,2,4,4,3,7,7,8,8,7,8
West Bromwich Albion FC,West Bromwich Albion,2016/2017,England,38,19,19,0,12,9,3,9,2,7,17,8,9,1.18,1.53,0.84,10,11,12,10,43,51,-8,94,49,45,27,16,22,29,5,-13,80,63,107,67,78,59,6,4,2,19,8,11,15,8,7,16,9,7,159,80,79,80,33,47,41,42,40,340,193,147,174,101,73,166,92,74,174,101,73,21,15,6,21,10,11,0,5,-5,10,6,4,17,7,10,11,6,5,1.24,1.32,1.16,2.47,2.58,2.37,1.13,1.42,0.84,1.34,1.16,1.53,1.11,1.32,0.89,0.55,0.79,0.32,0.55,0.53,0.58,36,27,18,11,1,1,18,13,9,7,1,1,18,14,9,4,0,0,2,11,20,27,37,37,1,6,10,12,18,18,1,5,10,15,19,19,95,71,47,29,3,3,95,68,47,37,5,5,95,74,47,21,0,0,5,29,53,71,97,97,5,32,53,63,95,95,5,26,53,79,100,100,25,14,3,14,8,3,11,6,0,66,37,8,74,42,16,58,32,0,32,47,16,20,16,21,11,50,42,58,39,42,37,42,47,37,22,10,12,58,53,63,24,11,13,63,58,68,5,3,2,13,16,11,26,32,21,45,37,53,29,32,26,4.18,4.21,4.16,2.11,1.74,2.47,89,79,63,55,47,21,16,8,58,7,3,2,7,5,3,5,5,6,2,6,6,2,6,7,3,8,11
Crystal Palace FC,Crystal Palace,2016/2017,England,38,19,19,0,12,6,6,5,2,3,21,11,10,1.08,1.05,1.11,14,18,8,14,50,63,-13,113,49,64,24,26,25,38,-1,-12,68,71,66,54,68,45,7,5,2,18,7,11,13,7,6,12,6,6,203,103,100,77,32,45,47,50,45,331,169,162,165,84,81,166,85,81,165,84,81,17,10,7,30,15,15,-13,-5,-8,7,5,2,13,4,9,18,10,8,0.89,1,0.79,2.97,2.58,3.37,1.32,1.26,1.37,1.66,1.32,2,1.24,1.32,1.16,0.45,0.53,0.37,0.79,0.79,0.79,38,29,21,12,7,3,19,12,10,5,2,1,19,17,11,7,5,2,0,9,17,26,31,35,0,7,9,14,17,18,0,2,8,12,14,17,100,76,55,32,18,8,100,63,53,26,11,5,100,89,58,37,26,11,0,24,45,68,82,92,0,37,47,74,89,95,0,11,42,63,74,89,29,12,3,15,5,2,14,7,1,76,32,8,79,26,11,74,37,5,32,32,32,8,18,26,11,47,37,58,34,37,32,32,32,32,15,9,6,39,47,32,26,13,13,68,68,68,6,1,5,16,5,26,18,26,11,34,21,47,47,53,42,5.34,5.42,5.26,2.03,1.68,2.37,87,84,76,63,53,47,37,24,76,3,6,1,6,4,4,8,5,13,6,7,3,5,10,4,5,8,15
Everton FC,Everton,2016/2017,England,38,19,19,0,17,13,4,10,4,6,11,2,9,1.61,2.26,0.95,7,4,10,7,62,44,18,106,58,48,42,20,16,28,26,-8,55,41,86,78,107,61,13,8,5,19,9,10,8,2,6,19,13,6,197,120,77,76,39,37,51,52,50,353,185,168,186,102,84,167,83,84,186,102,84,23,17,6,22,6,16,1,11,-10,10,9,1,18,8,10,10,2,8,1.26,1.84,0.68,2.79,3.05,2.53,1.63,2.21,1.05,1.16,0.84,1.47,1.18,1.21,1.16,0.61,0.89,0.32,0.58,0.32,0.84,36,29,19,12,5,2,19,16,10,6,2,2,17,13,9,6,3,0,2,9,19,26,33,36,0,3,9,13,17,17,2,6,10,13,16,19,95,76,50,32,13,5,100,84,53,32,11,11,89,68,47,32,16,0,5,24,50,68,87,95,0,16,47,68,89,89,11,32,53,68,84,100,25,12,5,12,5,3,13,7,2,66,32,13,63,26,16,68,37,11,45,68,21,32,34,42,26,50,47,53,21,11,32,50,68,32,21,14,7,55,74,37,22,9,13,58,47,68,8,3,5,21,16,26,26,47,5,47,42,53,26,11,42,5.18,6.32,4.05,2,2.05,1.95,89,79,76,66,47,34,28,21,68,4,1,6,5,10,8,2,8,18,8,4,4,3,4,7,5,2,7
Burnley FC,Burnley,2016/2017,England,38,19,19,0,11,10,1,7,3,4,20,6,14,1.05,1.74,0.37,16,9,19,16,39,55,-16,94,46,48,26,13,20,35,6,-22,87,66,132,62,86,49,10,6,4,19,9,10,12,4,8,17,14,3,149,79,70,69,35,34,43,45,42,299,158,141,133,66,67,166,92,74,133,66,67,16,12,4,21,6,15,-5,6,-11,7,6,1,23,12,11,8,1,7,1.16,1.58,0.74,2.47,2.42,2.53,1.03,1.37,0.68,1.45,1.05,1.84,0.97,0.95,1,0.42,0.63,0.21,0.55,0.32,0.79,35,28,19,8,4,0,19,13,7,4,3,0,16,15,12,4,1,0,3,10,19,30,34,38,0,6,12,15,16,19,3,4,7,15,18,19,92,74,50,21,11,0,100,68,37,21,16,0,84,79,63,21,5,0,8,26,50,79,89,100,0,32,63,79,84,100,16,21,37,79,95,100,21,14,2,10,7,1,11,7,1,55,37,5,53,37,5,58,37,5,29,53,5,31,26,32,21,50,47,53,32,21,42,45,74,16,23,14,9,61,74,47,25,10,15,66,53,79,7,4,3,18,21,16,18,32,5,61,63,58,21,5,37,3.92,4.16,3.68,1.82,1.84,1.79,95,84,68,61,53,45,37,18,50,4,5,3,4,1,5,3,7,7,4,3,4,4,8,7,7,9,9
Southampton FC,Southampton,2016/2017,England,38,19,19,0,12,6,6,10,6,4,16,7,9,1.21,1.26,1.16,8,17,7,8,41,48,-7,89,38,51,17,24,21,27,-4,-3,83,101,71,71,81,63,14,8,6,16,7,9,15,8,7,15,8,7,198,106,92,63,27,36,53,54,53,408,222,186,205,106,99,203,116,87,205,106,99,19,7,12,18,7,11,1,0,1,9,2,7,21,14,7,8,3,5,1.26,1.05,1.47,2.34,2,2.68,1.08,0.89,1.26,1.26,1.11,1.42,0.97,0.74,1.21,0.5,0.37,0.63,0.47,0.37,0.58,31,25,19,8,3,2,15,11,7,4,1,0,16,14,12,4,2,2,7,13,19,30,35,36,4,8,12,15,18,19,3,5,7,15,17,17,82,66,50,21,8,5,79,58,37,21,5,0,84,74,63,21,11,11,18,34,50,79,92,95,21,42,63,79,95,100,16,26,37,79,89,89,22,12,3,8,5,1,14,7,2,58,32,8,42,26,5,74,37,11,32,32,32,-3,37,42,32,42,37,47,39,42,37,39,42,37,24,13,11,63,68,58,22,13,9,58,68,47,8,4,4,21,21,21,24,11,37,55,74,37,21,16,26,5.21,5.58,4.84,1.66,1.42,1.89,89,84,74,53,39,28,18,11,66,3,3,6,2,6,7,3,0,11,5,3,1,6,4,9,3,8,9
