timestamp,date_GMT,status,attendance,home_team_name,away_team_name,home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1498737600,Jun 29 2017 - 12:00pm,complete,2100,Shirak,Gorica,0.00,1.50,0,2,2,1,0,1,"","15,69",7,2,1,0,1,0,7,4,4,0,3,4,15,13,52,48,2.00,0,100,0,0,0,0,100,9.00,3.00,0,0,0,0,0,0,0,0,0,Gyumri City Stadium (Gyumri)
1498744800,Jun 29 2017 - 2:00pm,complete,8000,Irtysh,Dunav 2010,2.00,0.00,1,0,1,1,1,0,"5","",4,5,2,0,0,0,9,9,2,5,7,4,17,12,42,58,1.25,25,25,0,0,0,0,75,10.00,1.50,0,0,0,0,0,0,0,0,0,Ortalıq Stadion (Pavlodar)
1498747500,Jun 29 2017 - 2:45pm,complete,15000,Kairat,Atlantas,2.00,0.00,6,0,6,4,4,0,"21,26,30,42,50,73","",10,3,1,0,1,0,14,5,4,3,10,2,14,11,59,41,5.00,25,100,75,75,75,75,100,11.00,3.00,0,0,0,0,0,0,0,0,0,Ortalıq Stadion (Almatı (Almaty))
1498748400,Jun 29 2017 - 3:00pm,complete,2000,Partizani Tirana,Botev Plovdiv,0.00,1.33,1,3,4,2,1,1,"4","27,62,88",-1,-1,2,0,2,0,-2,-2,-1,-1,-1,-1,-1,-1,52,48,3.34,84,100,67,67,0,67,100,7.00,5.00,0,0,0,0,0,0,0,0,0,Stadiumi Selman Stërmasi (Tiranë (Tirana))
1498748400,Jun 29 2017 - 3:00pm,complete,1800,Pyunik,Slovan Bratislava,0.00,1.50,1,4,5,2,1,1,"8","22,62,68,75",0,7,0,0,1,0,3,7,0,4,3,3,11,9,33,67,4.50,100,100,100,75,75,100,100,5.50,2.50,0,0,0,0,0,0,0,0,0,Vazgen Sargsyan anvan Hanrapetakan Marzadasht (Yerevan)
1498748400,Jun 29 2017 - 3:00pm,complete,1933,Ventspils,Valur,1.00,0.50,0,0,0,0,0,0,"","",7,4,0,0,1,0,9,5,5,0,4,5,6,10,58,42,1.25,25,25,25,25,25,25,25,11.50,1.50,0,0,0,0,0,0,0,0,0,Olimpiskā centra Ventspils Stadionā (Ventspils)
1498749600,Jun 29 2017 - 3:20pm,complete,2915,Trenčín,Torpedo Kutaisi,2.00,0.00,5,1,6,3,2,1,"36,39,75,81,87","10",11,3,2,0,1,0,10,4,5,0,5,4,25,9,58,42,5.00,100,100,75,75,75,75,100,12.00,3.00,0,0,0,0,0,0,0,0,0,Mestský futbalový štadión Na Sihoti (Trenčín)
1498750200,Jun 29 2017 - 3:30pm,complete,3480,Dinamo Minsk,NSÍ,2.33,0.00,2,1,3,1,1,0,"42,52","86",9,2,0,0,3,0,21,7,13,2,8,5,8,9,58,42,2.84,84,100,84,0,0,0,84,8.33,6.00,0,0,0,0,0,0,0,0,0,Stadyen Traktar (Minsk)
1498750200,Jun 29 2017 - 3:30pm,complete,1500,Tallinna FC Levadia,Cork City,0.00,1.50,0,2,2,1,0,1,"","43,82",1,6,2,1,1,0,7,10,2,5,5,5,23,14,45,55,1.75,0,75,0,0,0,0,100,5.50,3.50,0,0,0,0,0,0,0,0,0,Pärnu Rannastaadion (Pärnu)
1498752000,Jun 29 2017 - 4:00pm,complete,1950,Shkendija,Dacia,2.25,0.00,3,0,3,2,2,0,"7,11,75","",-1,-1,1,0,1,0,-2,-2,-1,-1,-1,-1,-1,-1,47,53,2.88,13,88,88,13,0,88,100,6.00,2.25,0,0,0,0,0,0,0,0,0,Stadion Mladost (Strumica)
1498752000,Jun 29 2017 - 4:00pm,complete,3100,Shakhtyor,Sūduva,1.00,1.25,0,0,0,0,0,0,"","",8,0,1,0,2,0,24,4,8,0,16,4,9,14,66,34,0.75,13,38,0,0,0,0,13,9.00,3.25,0,0,0,0,0,0,0,0,0,Stadyen Budaŭnik (Stroitel') (Salihorsk (Soligorsk))
1498752000,Jun 29 2017 - 4:00pm,complete,3989,VPS,Olimpija,3.00,0.00,1,0,1,1,1,0,"12","",1,7,0,0,3,0,2,5,0,5,2,0,9,31,56,44,1.50,25,25,25,0,0,25,100,10.50,3.50,0,0,0,0,0,0,0,0,0,Elisa Stadion (Vaasa)
1498752000,Jun 29 2017 - 4:00pm,complete,1700,Chikhura,Rheindorf Altach,0.00,2.00,0,1,1,1,0,1,"","4",4,1,3,0,1,0,8,6,0,5,8,1,12,19,51,49,1.75,25,38,25,13,0,25,100,6.50,6.25,0,0,0,0,0,0,0,0,0,Boris Paichadze Dinamo Arena (Tbilisi)
1498752000,Jun 29 2017 - 4:00pm,complete,4000,Dinamo Batumi,Jagiellonia Białystok,0.00,2.00,0,1,1,0,0,0,"","49",6,7,3,0,5,0,5,14,2,6,3,8,11,19,47,53,1.25,25,25,0,0,0,0,25,10.50,6.50,0,0,0,0,0,0,0,0,0,Ramaz Shengelias Sakhelobis Stadioni (Kutaisi)
1498753800,Jun 29 2017 - 4:30pm,complete,2574,Lyngby,Bangor City,2.00,0.00,1,0,1,1,1,0,"13","",13,1,2,1,2,0,19,5,9,3,10,2,10,6,63,37,1.84,34,34,34,17,0,34,100,7.67,4.67,0,0,0,0,0,0,0,0,0,Lyngby Stadion (Lyngby)
1498753800,Jun 29 2017 - 4:30pm,complete,580,Nõmme Kalju,B36,1.50,0.00,2,1,3,1,1,0,"13,79","49",7,3,2,0,3,0,12,8,6,6,6,2,15,16,59,41,3.00,75,100,100,0,0,0,100,10.00,4.50,0,0,0,0,0,0,0,0,0,A. Le Coq Arena (Tallinn)
1498754700,Jun 29 2017 - 4:45pm,complete,7123,Ferencváros,Jelgava,1.50,0.00,2,0,2,1,1,0,"11,68","",7,2,3,0,4,0,16,4,7,2,9,2,10,13,74,26,3.00,25,100,25,25,25,25,100,9.00,8.00,0,0,0,0,0,0,0,0,0,Groupama Aréna (Budapest)
1498754700,Jun 29 2017 - 4:45pm,complete,100,Beitar Jerusalem,Vasas,2.00,0.00,4,3,7,3,1,2,"19,88,90'1,90'3","36,43,52",6,3,1,0,2,0,5,9,3,3,2,6,16,13,63,37,5.75,100,100,75,75,75,75,100,9.50,2.50,0,0,0,0,0,0,0,0,0,HaMoshava Stadium (Pétaḥ-Tiqva (Petach-Tikva))
1498755600,Jun 29 2017 - 5:00pm,complete,4650,Zira,Differdange 03,2.00,0.00,2,0,2,1,1,0,"22,80","",5,4,1,0,1,0,18,6,12,2,6,4,12,15,53,47,1.50,0,75,0,0,0,0,75,9.50,3.00,0,0,0,0,0,0,0,0,0,Dalğa Arena (Bakı (Baku))
1498755600,Jun 29 2017 - 5:00pm,complete,2500,Zaria,Sarajevo,1.50,0.00,2,1,3,2,2,0,"7,33","75",2,11,3,0,2,0,3,13,2,5,1,8,15,11,52,48,3.00,100,100,100,0,0,75,100,13.50,5.50,0,0,0,0,0,0,0,0,0,Stadionul Zimbru (Chişinău)
1498755600,Jun 29 2017 - 5:00pm,complete,6456,Levski Sofia,Sutjeska,1.50,0.00,3,1,4,3,3,0,"1,21,45'1","79",5,7,1,0,3,1,14,4,5,3,9,1,17,18,59,41,3.75,100,100,100,75,0,75,75,12.00,5.00,0,0,0,0,0,0,0,0,0,Vivacom Arena - Georgi Asparuhov (Sofia)
1498755600,Jun 29 2017 - 5:00pm,complete,2969,Odd,Ballymena United,2.33,0.00,3,0,3,1,1,0,"1,53,90'2","",5,4,2,0,2,0,13,4,4,0,9,4,14,11,67,33,2.17,0,67,67,0,0,0,67,9.00,3.67,0,0,0,0,0,0,0,0,0,Skagerak Arena (Skien)
1498755600,Jun 29 2017 - 5:00pm,complete,600,UE Santa Coloma,Osijek,0.00,2.25,0,2,2,0,0,0,"","80,90'6",1,10,3,0,2,0,3,10,0,4,3,6,13,14,23,77,1.88,13,75,13,0,0,0,13,7.50,5.50,0,0,0,0,0,0,0,0,0,Estadi Comunal d'Andorra la Vella (Andorra la Vella)
1498755600,Jun 29 2017 - 5:00pm,complete,2523,Haugesund,Coleraine,3.00,0.00,7,0,7,3,3,0,"8,33,42,49,52,61,71","",-1,-1,1,0,2,0,-2,-2,-1,-1,-1,-1,-1,-1,50,50,6.50,25,100,100,100,100,75,100,0.00,4.00,0,0,0,0,0,0,0,0,0,Haugesund Stadion (Haugesund)
1498755600,Jun 29 2017 - 5:00pm,complete,3496,AEK Larnaca ,Lincoln Red Imps,2.50,0.00,5,0,5,1,1,0,"22,52,65,68,77","",3,1,1,0,3,0,12,7,7,4,5,3,4,11,67,33,3.50,0,75,63,63,63,0,88,6.25,4.25,0,0,0,0,0,0,0,0,0,AEK Arena - George Karapatakis (Lárnaka (Larnaca) )
