team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90
SSC Napoli,Napoli,2014/2015,Italy,38,19,19,0,18,11,7,9,5,4,11,3,8,1.66,2,1.32,5,2,8,5,70,54,16,124,74,50,46,24,28,26,18,-2,49,37,71,63,61,66,9,5,4,23,13,10,6,1,5,18,10,8,251,141,110,90,45,45,55,58,52,446,232,214,218,120,98,228,112,116,218,120,98,26,17,9,26,13,13,0,4,-4,12,8,4,15,7,8,11,4,7,1.34,1.63,1.05,3.26,3.89,2.63,1.84,2.42,1.26,1.42,1.47,1.37,1.37,1.58,1.16,0.68,0.89,0.47,0.68,0.68,0.68,38,31,23,16,8,6,19,18,14,10,6,5,19,13,9,6,2,1,0,7,15,22,30,32,0,1,5,9,13,14,0,6,10,13,17,18,100,82,61,42,21,16,100,95,74,53,32,26,100,68,47,32,11,5,0,18,39,58,79,84,0,5,26,47,68,74,0,32,53,68,89,95,27,15,7,14,8,5,13,7,2,71,39,18,74,42,26,68,37,11,47,58,37,14,24,26,21,61,68,53,16,5,26,47,53,42,19,9,10,50,47,53,21,9,12,55,47,63,9,6,3,24,32,16,32,42,21,39,37,42,29,21,37,6.61,7.42,5.79,2.37,2.37,2.37,95,87,68,63,47,28,18,13,92,5,7,8,2,6,7,13,10,12,5,7,5,5,6,6,7,4,9
Juventus FC,Juventus,2014/2015,Italy,38,19,19,0,26,16,10,9,3,6,3,0,3,2.29,2.68,1.89,1,1,1,1,72,24,48,96,56,40,45,27,11,13,34,14,48,38,63,143,155,132,19,10,9,17,9,8,4,0,4,29,17,12,220,122,98,83,36,47,56,58,54,458,239,219,180,103,77,278,136,142,180,103,77,38,25,13,10,6,4,28,19,9,23,15,8,15,4,11,0,0,0,2.21,2.58,1.84,2.53,2.95,2.11,1.89,2.37,1.42,0.63,0.58,0.68,1.26,1.63,0.89,1,1.32,0.68,0.26,0.32,0.21,36,28,17,10,3,1,19,17,9,6,3,1,17,11,8,4,0,0,2,10,21,28,35,37,0,2,10,13,16,18,2,8,11,15,19,19,95,74,45,26,8,3,100,89,47,32,16,5,89,58,42,21,0,0,5,26,55,74,92,97,0,11,53,68,84,95,11,42,58,79,100,100,28,13,6,17,8,5,11,5,1,74,34,16,89,42,26,58,26,5,68,84,53,17,50,53,47,45,47,42,11,0,21,76,89,63,29,14,15,76,74,79,10,2,8,26,11,42,9,5,4,24,26,21,61,79,42,39,21,58,0,0,0,5.79,6.42,5.16,2.18,1.89,2.47,87,79,68,57,47,32,21,18,50,6,8,8,9,9,5,10,7,10,1,2,3,2,4,3,4,1,4
AS Roma,Roma,2014/2015,Italy,38,19,19,0,19,10,9,13,7,6,6,2,4,1.84,1.95,1.74,2,4,2,2,54,31,23,85,45,40,31,23,14,17,17,6,63,55,74,110,122,101,17,10,7,19,8,11,6,3,3,20,10,10,222,118,104,114,54,60,57,60,54,428,235,193,195,111,84,233,124,109,195,111,84,27,14,13,18,9,9,9,5,4,15,7,8,14,8,6,9,4,5,1.55,1.53,1.58,2.24,2.37,2.11,1.42,1.63,1.21,0.82,0.74,0.89,1.18,1.21,1.16,0.71,0.74,0.68,0.47,0.47,0.47,34,29,15,4,2,1,17,16,7,3,1,1,17,13,8,1,1,0,4,9,23,34,36,37,2,3,12,16,18,18,2,6,11,18,18,19,89,76,39,11,5,3,89,84,37,16,5,5,89,68,42,5,5,0,11,24,61,89,95,97,11,16,63,84,95,95,11,32,58,95,95,100,29,12,3,14,8,1,15,4,2,76,32,8,74,42,5,79,21,11,50,53,47,13,45,53,37,50,42,58,16,16,16,53,53,53,23,12,11,61,63,58,18,9,9,47,47,47,6,3,3,16,16,16,39,37,42,37,42,32,24,21,26,5.84,6.21,5.47,3,2.84,3.16,87,74,66,63,47,32,18,18,39,6,2,9,5,8,5,3,6,10,3,5,4,5,1,4,2,1,6
Cagliari Calcio,Cagliari,2014/2015,Italy,38,19,19,0,8,4,4,10,4,6,20,11,9,0.89,0.84,0.95,18,19,15,18,48,68,-20,116,60,56,24,24,36,32,-12,-8,71,71,71,50,48,54,4,1,3,24,14,10,11,4,7,14,8,6,196,101,95,121,60,61,49,50,47,380,190,190,187,89,98,193,101,92,187,89,98,26,12,14,36,18,18,-10,-6,-4,10,6,4,9,2,7,19,11,8,1.03,1.05,1,3.05,3.16,2.95,1.26,1.26,1.26,1.79,1.89,1.68,1.63,1.58,1.68,0.68,0.63,0.74,0.95,0.95,0.95,37,33,23,14,5,3,19,18,14,6,1,1,18,15,9,8,4,2,1,5,15,24,33,35,0,1,5,13,18,18,1,4,10,11,15,17,97,87,61,37,13,8,100,95,74,32,5,5,95,79,47,42,21,11,3,13,39,63,87,92,0,5,26,68,95,95,5,21,53,58,79,89,33,18,8,18,9,3,15,9,5,87,47,21,95,47,16,79,47,26,21,21,21,-3,11,5,16,63,74,53,29,21,37,37,42,32,13,6,7,34,32,37,22,11,11,58,58,58,8,3,5,21,16,26,26,32,21,24,11,37,50,58,42,5.30,5.61,5.00,3.18,3.16,3.21,95,89,70,56,51,35,24,22,89,3,8,3,8,8,2,3,4,9,10,7,8,7,7,9,4,6,10
Torino FC,Torino,2014/2015,Italy,38,19,19,0,14,8,6,12,7,5,12,4,8,1.42,1.63,1.21,9,8,9,9,48,45,3,93,39,54,25,23,14,31,11,-8,71,68,74,76,122,55,11,7,4,20,8,12,11,6,5,14,7,7,180,107,73,107,39,68,49,51,47,440,257,183,178,102,76,262,155,107,178,102,76,21,9,12,21,7,14,0,2,-2,9,3,6,17,12,5,12,4,8,1.16,1.11,1.21,2.45,2.05,2.84,1.26,1.32,1.21,1.18,0.74,1.63,1.11,0.84,1.37,0.55,0.47,0.63,0.55,0.37,0.74,34,27,17,8,5,2,17,11,5,3,2,1,17,16,12,5,3,1,4,11,21,30,33,36,2,8,14,16,17,18,2,3,7,14,16,18,89,71,45,21,13,5,89,58,26,16,11,5,89,84,63,26,16,5,11,29,55,79,87,95,11,42,74,84,89,95,11,16,37,74,84,95,24,12,6,9,5,2,15,7,4,63,32,16,47,26,11,79,37,21,37,42,32,21,29,37,21,53,42,63,29,32,26,37,37,37,21,13,8,55,68,42,23,13,10,61,68,53,8,3,5,21,16,26,24,16,32,45,63,26,32,21,42,4.74,5.63,3.84,2.82,2.05,3.58,92,76,71,55,45,28,13,5,61,2,8,5,5,3,6,11,2,6,4,7,3,3,5,5,3,7,8
Empoli FC,Empoli,2014/2015,Italy,38,19,19,0,8,6,2,18,8,10,12,5,7,1.11,1.37,0.84,15,13,18,15,46,52,-6,98,48,50,26,20,22,30,4,-10,74,66,86,66,78,57,10,7,3,21,9,12,12,7,5,15,8,7,225,149,76,66,30,36,50,53,47,440,256,184,214,126,88,226,130,96,214,126,88,20,13,7,22,10,12,-2,3,-5,11,6,5,17,10,7,10,3,7,1.32,1.47,1.16,2.58,2.53,2.63,1.21,1.37,1.05,1.37,1.16,1.58,1.11,1.21,1,0.53,0.68,0.37,0.58,0.53,0.63,33,30,17,12,3,2,15,14,10,6,2,1,18,16,7,6,1,1,5,8,21,26,35,36,4,5,9,13,17,18,1,3,12,13,18,18,87,79,45,32,8,5,79,74,53,32,11,5,95,84,37,32,5,5,13,21,55,68,92,95,21,26,47,68,89,95,5,16,63,68,95,95,25,11,5,11,7,4,14,4,1,66,29,13,58,37,21,74,21,5,21,32,11,14,26,37,16,55,47,63,32,37,26,39,42,37,22,12,10,58,63,53,23,11,12,61,58,63,6,4,2,16,21,11,29,32,26,45,53,37,26,16,37,5.92,7.84,4.00,1.74,1.58,1.89,95,89,79,66,53,45,24,18,71,4,3,4,4,7,13,5,3,3,2,4,3,6,11,8,9,5,4
Genoa CFC,Genoa,2014/2015,Italy,38,19,19,0,16,9,7,11,6,5,11,4,7,1.55,1.74,1.37,6,6,6,6,62,47,15,109,54,55,33,29,21,26,12,3,55,52,59,73,81,66,8,5,3,25,11,14,6,3,3,19,11,8,231,126,105,115,51,64,50,51,49,390,206,184,188,105,83,202,101,101,188,105,83,29,16,13,24,8,16,5,8,-3,14,8,6,14,9,5,10,2,8,1.47,1.74,1.21,2.87,2.84,2.89,1.63,1.74,1.53,1.24,1.11,1.37,1.39,1.26,1.53,0.76,0.84,0.68,0.63,0.42,0.84,37,30,19,12,6,4,19,14,7,6,4,3,18,16,12,6,2,1,1,8,19,26,32,34,0,5,12,13,15,16,1,3,7,13,17,18,97,79,50,32,16,11,100,74,37,32,21,16,95,84,63,32,11,5,3,21,50,68,84,89,0,26,63,68,79,84,5,16,37,68,89,95,31,13,5,14,6,2,17,7,3,82,34,13,74,32,11,89,37,16,42,47,37,9,21,26,16,66,58,74,16,16,16,50,58,42,20,12,8,53,63,42,16,7,9,42,37,47,9,5,4,24,26,21,37,42,32,37,47,26,26,11,42,6.08,6.63,5.53,3.03,2.68,3.37,95,89,82,68,61,47,39,37,58,3,7,9,5,7,11,4,3,13,6,8,3,6,4,4,10,3,3
AC Milan,Milan,2014/2015,Italy,38,19,19,0,13,9,4,13,5,8,12,5,7,1.37,1.68,1.05,10,7,11,10,56,50,6,106,49,57,30,26,19,31,11,-5,61,57,66,68,90,55,8,5,3,25,11,14,8,3,5,20,13,7,195,112,83,107,49,58,52,55,49,323,190,133,144,77,67,179,113,66,144,77,67,28,12,16,19,7,12,9,5,4,15,9,6,16,7,9,7,3,4,1.61,1.79,1.42,2.79,2.58,3,1.47,1.58,1.37,1.32,1,1.63,1.24,1,1.47,0.74,0.63,0.84,0.5,0.37,0.63,35,32,20,13,2,1,19,17,8,5,0,0,16,15,12,8,2,1,3,6,18,25,36,37,0,2,11,14,19,19,3,4,7,11,17,18,92,84,53,34,5,3,100,89,42,26,0,0,84,79,63,42,11,5,8,16,47,66,95,97,0,11,58,74,100,100,16,21,37,58,89,95,28,13,5,15,4,0,13,9,5,74,34,13,79,21,0,68,47,26,34,47,21,16,21,26,16,66,58,74,21,16,26,53,68,37,23,13,10,61,68,53,14,7,7,37,37,37,11,3,8,29,16,42,39,47,32,42,37,47,18,16,21,5.27,5.89,4.61,2.82,2.58,3.05,97,86,78,70,49,32,24,16,79,6,3,8,8,5,10,6,7,3,1,4,8,5,4,5,7,8,8
US Città di Palermo,Palermo,2014/2015,Italy,38,19,19,0,12,8,4,13,6,7,13,5,8,1.29,1.58,1,11,10,14,11,53,55,-2,108,55,53,30,23,25,30,5,-7,65,57,74,62,68,57,7,3,4,24,14,10,10,3,7,20,11,9,194,117,77,90,44,46,49,52,46,367,180,187,161,70,91,206,110,96,161,70,91,35,19,16,27,11,16,8,8,0,14,8,6,12,7,5,12,4,8,1.42,1.63,1.21,2.84,2.89,2.79,1.39,1.58,1.21,1.45,1.32,1.58,1.63,1.58,1.68,0.92,1,0.84,0.71,0.58,0.84,35,30,22,11,6,3,18,16,12,6,3,0,17,14,10,5,3,3,3,8,16,27,32,35,1,3,7,13,16,19,2,5,9,14,16,16,92,79,58,29,16,8,95,84,63,32,16,0,89,74,53,26,16,16,8,21,42,71,84,92,5,16,37,68,84,100,11,26,47,74,84,84,33,19,7,16,10,4,17,9,3,87,50,18,84,53,21,89,47,16,32,42,21,12,18,16,21,63,74,53,26,16,37,53,58,47,16,10,6,42,53,32,14,5,9,37,26,47,13,7,6,34,37,32,37,42,32,32,37,26,32,21,42,5.11,6.16,4.05,2.37,2.32,2.42,92,76,55,50,42,28,21,18,68,11,7,8,5,5,1,6,4,6,6,5,3,9,4,6,7,6,9
SS Lazio,Lazio,2014/2015,Italy,38,19,19,0,21,12,9,6,1,5,11,6,5,1.82,1.95,1.68,3,3,3,3,71,38,33,109,58,51,40,31,18,20,22,11,48,43,55,90,95,86,14,7,7,18,8,10,7,4,3,23,12,11,204,115,89,122,55,67,52,54,51,440,241,199,223,122,101,217,119,98,223,122,101,35,22,13,12,8,4,23,14,9,19,10,9,12,4,8,7,5,2,1.82,1.79,1.84,2.87,3.05,2.68,1.87,2.11,1.63,1,0.95,1.05,1.24,1.58,0.89,0.92,1.16,0.68,0.32,0.42,0.21,37,31,24,12,3,2,19,16,14,6,2,1,18,15,10,6,1,1,1,7,14,26,35,36,0,3,5,13,17,18,1,4,9,13,18,18,97,82,63,32,8,5,100,84,74,32,11,5,95,79,53,32,5,5,3,18,37,68,92,95,0,16,26,68,89,95,5,21,47,68,95,95,29,13,4,17,8,4,12,5,0,76,34,11,89,42,21,63,26,0,55,63,47,9,37,37,37,47,42,53,18,21,16,61,63,58,27,11,16,71,58,84,16,7,9,42,37,47,4,3,1,11,16,5,50,53,47,32,21,42,18,26,11,5.51,6.39,4.68,3.21,2.89,3.53,76,68,56,49,32,16,14,5,87,8,4,6,8,10,8,5,8,14,2,2,7,0,6,7,6,4,4
