timestamp,date_GMT,status,attendance,home_team_name,away_team_name,home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1500134400,Jul 15 2017 - 4:00pm,complete,N/A,Ankaran Hrvatini,Triglav,0.72,0.89,0,0,0,0,0,0,"","",4,6,2,0,1,0,10,11,5,3,5,8,19,13,46,54,2.73,42,86,50,23,11,33,56,6.78,4.06,0,0,0,0,0,0,0,0,0,Športni center Dravograd (Dravograd)
1500142800,Jul 15 2017 - 6:20pm,complete,2500,Maribor,Aluminij,2.00,0.94,1,0,1,0,0,0,"50","",8,7,0,0,2,0,9,14,5,5,4,9,8,10,49,51,2.59,47,64,50,31,17,34,67,11.21,2.78,0,0,0,0,0,0,0,0,0,Ljudski vrt (Maribor)
1500220800,Jul 16 2017 - 4:00pm,complete,850,Rudar,Domžale,1.33,1.83,2,1,3,2,1,1,"31,88","36",10,4,4,0,2,0,10,7,5,0,5,7,14,16,53,47,2.86,64,75,64,34,17,39,70,14.53,2.83,0,0,0,0,0,0,0,0,0,Štadion Ob Jezeru (Velenje)
1500220800,Jul 16 2017 - 4:00pm,complete,850,Krško,Gorica,1.33,1.00,2,1,3,0,0,0,"50,56","65",5,10,2,0,2,0,5,12,3,3,2,9,8,11,38,62,2.48,45,75,45,17,9,31,58,10.16,2.78,0,0,0,0,0,0,0,0,0,Štadion Matije Gubca (Krško)
1500229200,Jul 16 2017 - 6:20pm,complete,1400,Olimpija,Celje,2.44,0.94,3,1,4,1,1,0,"42,49,51","77",4,7,2,0,4,0,11,9,4,4,7,5,16,20,48,52,2.53,45,73,56,28,6,31,67,12.50,2.55,0,0,0,0,0,0,0,0,0,Stadion Stožice (Ljubljana)
1500652800,Jul 21 2017 - 4:00pm,complete,400,Aluminij,Krško,0.89,0.56,4,2,6,1,1,0,"33,81,83,86","57,63",7,7,0,0,2,0,14,9,5,5,9,4,5,11,65,35,2.67,50,81,45,28,14,25,64,8.50,3.00,0,0,0,0,0,0,0,0,0,Športni Park Aluminij (Kidričevo)
1500735000,Jul 22 2017 - 2:50pm,complete,1500,Triglav,Maribor,0.67,2.50,2,3,5,0,0,0,"55,60","71,86,88",5,13,3,0,1,0,8,16,4,4,4,12,14,13,36,64,3.08,45,84,61,42,22,31,61,11.61,2.72,0,0,0,0,0,0,0,0,0,Športni Center Stanko Mlakar (Kranj)
1500746400,Jul 22 2017 - 6:00pm,complete,550,Rudar,Ankaran Hrvatini,1.33,0.72,3,1,4,1,1,0,"37,64,88","77",5,8,1,0,2,0,11,12,5,6,6,6,15,13,50,50,3.22,67,78,64,48,25,39,78,10.80,2.89,0,0,0,0,0,0,0,0,0,Štadion Ob Jezeru (Velenje)
1500825600,Jul 23 2017 - 4:00pm,complete,750,Domžale,Celje,2.22,0.94,4,0,4,2,2,0,"32,36,67,90","",9,6,2,0,2,0,13,8,8,5,5,3,21,15,51,49,2.92,48,75,62,34,12,36,67,14.17,2.61,0,0,0,0,0,0,0,0,0,Športni Park (Domžale)
1500834000,Jul 23 2017 - 6:20pm,complete,1100,Gorica,Olimpija,1.61,1.89,0,2,2,1,0,1,"","40,75",2,6,2,0,0,0,4,8,2,6,2,2,11,14,48,52,2.39,39,67,42,23,12,25,61,10.83,2.17,0,0,0,0,0,0,0,0,0,Športni Park (Nova Gorica)
1501264800,Jul 28 2017 - 6:00pm,complete,700,Krško,Triglav,1.33,0.89,1,1,2,1,0,1,"56","14",4,3,4,0,4,0,12,5,6,3,6,2,17,21,53,47,2.78,48,81,50,23,14,31,58,8.60,3.89,0,0,0,0,0,0,0,0,0,Štadion Matije Gubca (Krško)
1501352400,Jul 29 2017 - 6:20pm,complete,2200,Maribor,Rudar,2.00,1.44,1,0,1,1,1,0,"11","",4,10,1,0,1,0,5,14,3,8,2,6,7,16,51,49,2.53,42,67,53,31,12,34,73,12.96,2.39,0,0,0,0,0,0,0,0,0,Ljudski vrt (Maribor)
