,timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,home_total_goal_count_pre_game,away_total_goal_count_pre_game,home_goals_scored_pre_game,away_goals_scored_pre_game,home_goals_conceded_pre_game,away_goals_conceded_pre_game,home_average_possession_pre_game,away_average_possession_pre_game,home_average_shots_pre_game,away_average_shots_pre_game,home_average_shots_against_pre_game,away_average_shots_against_pre_game,home_ppg_pre_game,away_ppg_pre_game,home_ppg_per_odds_pre_game,away_ppg_per_odds_pre_game,home_ppg_5games_pre_game,away_ppg_5games_pre_game,home_total_goal_count_5games_pre_game,away_total_goal_count_5games_pre_game,country
6,1610883000,2021-01-17 11:30:00,incomplete,,Napoli,Fiorentina,Daniele Chiffi,18,1.63,0.63,1.63,0.63,0,0,0,0,0,0,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,3.32,51,94,69,38,19,26,76,55,83,12.13,4.5,1.56,4.4,6.5,1.31,1.8,2.85,4.8,1.87,1.83,Stadio San Paolo (Napoli),3.1,1.9,1.9,0.8,1.2,1.1,61.4,51.7,20.2,10.8,10.4,12.0,1.6,1.0,3.4499999999999997,2.586666666666667,1.4,1.6,3.0,1.8,italy
24,1610884800,2021-01-17 12:00:00,incomplete,,Brest,Rennes,Ruddy Buquet,20,2.11,1.78,2.11,1.78,0,0,0,0,0,0,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,3.06,56,84,61,34,28,45,95,48,84,10.0,4.0,3.3,3.5,2.25,1.29,1.8,2.8,5.25,1.65,2.1,Stade Francis-Le Blé (Brest),3.2,2.0,1.8,1.0,1.4,1.0,45.5,59.7,11.4,13.1,17.8,7.9,1.7,1.5,2.25,3.5866666666666673,1.0,2.2,3.2,2.2,france
32,1610892000,2021-01-17 14:00:00,incomplete,,Sheffield United,Tottenham Hotspur,Andre Marriner,19,0.44,1.88,0.44,1.88,0,0,0,0,0,0,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,2.39,48,54,30,18,18,36,54,29,80,9.13,2.58,6.0,3.65,1.69,1.38,2.05,3.45,6.0,2.0,1.71,Bramall Lane (Sheffield),2.0,1.9,0.5,1.2,1.5,0.7,45.8,43.5,10.5,11.3,13.3,16.0,0.4,1.6,2.45,2.98,0.8,1.0,1.4,2.4,england
28,1610892000,2021-01-17 14:00:00,incomplete,,Strasbourg,Saint-Étienne,Antony Gautier,20,0.89,0.9,0.89,0.9,0,0,0,0,0,0,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,2.84,47,84,52,37,16,31,84,42,82,9.86,4.06,1.65,3.95,5.75,1.38,2.0,3.25,6.0,2.0,1.74,Stade de la Meinau (Strasbourg),3.2,2.7,1.8,1.1,1.4,1.6,44.4,52.5,11.5,13.6,11.3,10.4,1.4,0.9,4.57,6.333333333333333,1.8,1.2,2.8,3.4,france
27,1610892000,2021-01-17 14:00:00,incomplete,,Nice,Bordeaux,Thomas Léonard,20,0.89,1.22,0.89,1.22,0,0,0,0,0,0,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,2.84,61,84,67,33,6,56,84,35,68,8.78,4.22,2.4,3.25,3.25,1.42,2.1,3.35,6.0,1.87,1.83,Allianz Riviera (Nice),2.6,2.3,1.1,1.1,1.5,1.2,56.0,49.7,11.9,11.2,15.1,12.6,0.9,1.4,1.57,3.216666666666667,1.0,1.4,3.0,2.4,france
26,1610892000,2021-01-17 14:00:00,incomplete,,Nantes,Lens,Frank Schneider,20,1.22,1.44,1.22,1.44,0,0,0,0,0,0,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,2.84,56,89,56,33,11,39,89,41,81,8.66,5.45,2.8,3.3,2.7,1.39,2.05,3.25,5.75,1.8,1.91,Stade de la Beaujoire - Louis Fonteneau (Nantes),2.6,2.8,0.8,1.4,1.8,1.4,49.2,55.3,13.1,11.7,11.9,11.8,0.6,1.3,2.533333333333333,2.1,0.6,1.2,2.4,2.8,france
7,1610892000,2021-01-17 14:00:00,incomplete,,Crotone,Benevento,Simone Sozza,18,0.88,1.63,0.88,1.63,0,0,0,0,0,0,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,3.01,57,82,57,38,19,51,88,36,71,7.01,5.88,2.75,3.45,2.7,1.35,1.91,2.9,5.5,1.71,2.0,Stadio Ezio Scida (Crotone),3.4,2.0,1.1,1.0,2.3,1.0,49.8,42.5,10.3,14.7,14.4,13.9,0.7,1.5,0.0,2.7000000000000006,0.6,1.8,4.4,2.8,italy
8,1610892000,2021-01-17 14:00:00,incomplete,,Sassuolo,Parma,Ivano Pezzuto,18,1.5,0.63,1.5,0.63,0,0,0,0,0,0,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,3.32,69,88,82,38,25,38,76,59,74,8.25,4.63,1.74,4.1,4.9,1.24,1.61,2.3,4.0,1.57,2.25,MAPEI Stadium - Città del Tricolore (Reggio nell'Emilia),2.9,2.5,1.2,0.5,1.7,2.0,57.1,47.8,12.7,10.2,19.4,16.2,1.4,0.6,1.8,0.0,1.2,0.0,4.2,3.0,italy
25,1610892000,2021-01-17 14:00:00,suspended,,Lorient,Dijon,Bastien Dechepy,20,0.78,1.0,0.78,1.0,0,0,0,0,0,0,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,2.95,50,78,56,39,17,45,67,42,74,7.67,4.78,2.35,3.3,3.2,1.34,2.05,3.5,6.5,1.8,1.9,Stade Yves Allainmat - Le Moustoir (Lorient),3.1,1.6,0.8,0.8,2.3,0.8,44.1,48.4,12.8,9.9,16.8,12.1,0.4,1.1,1.5333333333333332,5.866666666666667,0.2,1.0,3.8,1.4,france
13,1610893800,2021-01-17 14:30:00,incomplete,,Bayern München,Freiburg,,16,2.43,1.57,2.43,1.57,0,0,0,0,0,0,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,4.29,64,100,72,57,43,57,86,60,90,10.86,3.86,1.26,7.0,10.5,1.1,1.3,1.71,2.4,1.57,2.25,Allianz Arena (München),4.0,3.7,2.4,2.2,1.6,1.5,61.8,44.7,14.7,14.3,11.4,12.6,2.1,1.7,3.1199999999999997,8.1,2.0,3.0,4.0,3.6,germany
29,1610899200,2021-01-17 16:00:00,incomplete,,Lille,Reims,Benoît Millot,20,2.1,1.0,2.1,1.0,0,0,0,0,0,0,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,3.0,60,85,65,35,5,45,80,37,71,9.5,4.1,1.56,4.05,6.75,1.43,2.1,3.55,6.5,2.2,1.61,Stade Pierre-Mauroy (Villeneuve d'Ascq),2.8,3.0,1.8,1.5,1.0,1.5,54.1,43.2,14.2,11.3,8.8,11.3,2.0,1.3,3.44,6.673333333333333,2.0,2.2,2.2,3.0,france
33,1610901000,2021-01-17 16:30:00,incomplete,,Liverpool,Manchester United,Paul Tierney,19,2.75,2.75,2.75,2.75,0,0,0,0,0,0,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,3.88,82,94,88,63,32,75,94,50,85,10.25,1.75,1.95,3.75,3.85,1.25,1.69,2.5,4.4,1.57,2.25,Anfield (Liverpool),2.6,3.2,2.0,2.2,0.6,1.0,65.7,53.7,15.0,16.2,9.3,12.9,1.7,2.6,0.8233333333333333,4.71,1.6,2.6,2.6,3.4,england
9,1610902800,2021-01-17 17:00:00,incomplete,,Atalanta,Genoa,Livio Marinelli,18,2.0,0.75,2.0,0.75,0,0,0,0,0,0,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,3.19,57,88,57,32,26,25,63,61,85,8.88,4.63,1.25,6.75,12.0,1.17,1.45,2.05,3.1,1.83,1.87,Gewiss Stadium (Bergamo),3.2,2.6,2.3,1.1,0.9,1.5,51.7,41.9,17.8,9.1,8.5,13.8,1.9,0.9,4.3,4.8,2.6,1.4,4.6,2.4,italy
14,1610902800,2021-01-17 17:00:00,incomplete,,Eintracht Frankfurt,Schalke 04,,16,1.57,0.29,1.57,0.29,0,0,0,0,0,0,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,3.65,72,100,72,43,22,43,79,67,97,9.57,5.15,1.53,4.65,6.5,1.2,1.54,2.2,3.4,1.61,2.15,Deutsche Bank Park (Frankfurt am Main),3.2,3.0,1.8,1.0,1.4,2.0,50.2,47.1,12.9,13.5,13.3,17.5,1.5,0.6,7.199999999999999,3.7999999999999994,2.0,0.8,3.2,2.8,germany
34,1610910900,2021-01-17 19:15:00,incomplete,,Manchester City,Crystal Palace,Lee Mason,19,2.13,1.22,2.13,1.22,0,0,0,0,0,0,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,2.77,41,77,41,29,18,43,89,32,59,11.19,3.28,1.19,7.5,15.0,1.19,1.54,2.25,3.55,2.1,1.67,Etihad Stadium (Manchester),2.1,2.7,1.6,1.0,0.5,1.7,62.6,45.9,16.7,12.2,8.2,13.7,2.1,1.0,4.64,5.45,2.6,1.0,2.0,2.8,england
10,1610912700,2021-01-17 19:45:00,incomplete,,Inter Milan,Juventus,Daniele Doveri,18,2.38,2.0,2.38,2.0,0,0,0,0,0,0,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,3.94,88,94,76,63,26,63,76,67,88,11.01,4.38,2.4,3.45,3.1,1.32,1.95,3.1,6.0,1.69,2.05,Stadio Giuseppe Meazza (Milano),3.9,3.3,2.7,2.3,1.2,1.0,49.4,61.2,16.0,18.5,13.6,11.2,2.5,2.3,2.0,4.94,2.0,2.4,4.2,4.0,italy
30,1610913600,2021-01-17 20:00:00,incomplete,,Olympique Lyonnais,Metz,Stéphanie Frappart,20,2.33,1.11,2.33,1.11,0,0,0,0,0,0,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,2.56,56,73,45,28,17,33,67,37,68,11.89,5.56,1.32,5.75,9.5,1.24,1.62,2.4,3.85,1.91,1.8,Groupama Stadium (Décines-Charpieu),3.3,2.1,2.4,1.0,0.9,1.1,51.9,42.3,16.5,11.1,13.5,14.4,2.6,1.1,3.456666666666667,1.8333333333333333,2.2,1.6,4.2,1.4,france
